,nb_inputs,cross_corr,legacy_cross_corr,cp_dot_computation_no_reshape,np_dot_computation_no_reshape,inputs_side_len,nb_kernels,kernels_side_len,depth,speed_up
840,1,0.23705153300034,0.28513813900008245,0.48980639299998074,0.10560180599986779,1000,27,3,1,1.2028529636198282
1150,101,0.01357166000025245,0.01634832399986408,0.02741559399964899,0.0037249340002745157,32,28,3,1,1.2045928058586775
121,1,0.0010101369998665177,0.001221581000208971,0.0008101859998532746,0.00016947199992500828,32,15,3,3,1.209322102220188
279,1,0.0012881269999525102,0.0015583010003865638,0.0012073779998900136,0.00038756300000386545,32,30,7,3,1.209741741648156
2097,401,0.09486297300009028,0.11503634700056864,0.19549707399983163,0.04667838800014579,32,32,4,1,1.2126580409878063
860,1,0.2478776870002548,0.3007605620000504,0.516886316000182,0.11040181400039728,1000,29,3,1,1.2133426192561707
2087,401,0.0933384300005855,0.11364920500000153,0.18934847499986063,0.044241305000468856,32,31,4,1,1.2176035637120597
550,1,0.03913697200005117,0.04769721899992874,0.13480208800001492,0.027658936000079848,500,28,3,1,1.2187253270351721
570,1,0.04064753100010421,0.04979111400007241,0.13869119999981194,0.033095459999913146,500,30,3,1,1.2249480540391189
251,1,0.0011094010001215793,0.001360681999813096,0.0009634729999561387,0.00019608299999163137,32,28,3,3,1.2265015081688035
1,1,0.0011530809997566394,0.0014171590000842116,0.0007508549997510272,0.00033542600021974067,32,3,3,3,1.2290194707772537
850,1,0.23928950599974996,0.29453122799986886,0.498882839000089,0.10869822199992996,1000,28,3,1,1.2308572696045292
2077,401,0.08913471199957712,0.1100838960001056,0.18409747799978504,0.04197708900028374,32,30,4,1,1.2350283467638048
2067,401,0.08795214600013423,0.10937745999945037,0.18050568400030897,0.04276240399940434,32,29,4,1,1.2436019468960249
289,1,0.0011544440003490308,0.0014362140000230283,0.0011635880000540055,0.00041417200009163935,32,31,7,3,1.2440742033297485
2045,401,0.08851543900073011,0.11158184199939569,0.17660333599997102,0.04416480700001557,32,27,3,1,1.2605918612511804
810,1,0.21350383099979808,0.2704222350002965,0.4355450580001161,0.09167645500019717,1000,24,3,1,1.2665919563783015
33,1,0.0011609670000325423,0.0014710690002175397,0.000875517000167747,0.00014768900018680142,32,6,4,3,1.2671066448713058
830,1,0.22395197600008032,0.28427117199998975,0.4744417539995993,0.09949502700010271,1000,26,3,1,1.269339869543673
1130,101,0.012909048999972583,0.016395659999943746,0.026406355999824882,0.0043004270000892575,32,26,3,1,1.2700904613483586
297,1,0.0010505959999136394,0.0013392699997893942,0.0014841040001556394,0.0003062099999624479,32,32,6,3,1.2747716533277151
820,1,0.21625956800016866,0.27595187299993995,0.4555365599999277,0.10193429699984335,1000,25,3,1,1.2760215677473505
1455,201,0.025033038999936252,0.03214435900008539,0.0972583829998257,0.01989931299976888,32,28,3,1,1.2840773747113663
2015,401,0.08338833299967519,0.10724025599938614,0.16342555100072786,0.03851752700029465,32,24,3,1,1.2860342945074086
23,1,0.0011467640001683321,0.0014761160000489326,0.0008092439998108603,0.00016302199992423994,32,5,4,3,1.2872012025423325
2035,401,0.08366493199991965,0.10780895900006726,0.17880870399949345,0.0422898199994961,32,26,3,1,1.288580011039402
560,1,0.0401586020002469,0.05212056600021242,0.13826944500033278,0.032234669999979815,500,29,3,1,1.2978680383319114
1120,101,0.01235282500010726,0.016139834000114206,0.025150667000161775,0.0035304680000081134,32,25,3,1,1.3065702784564717
141,1,0.0010467340002833225,0.0013698510001631803,0.0008334089998243144,0.00016361400003006565,32,17,3,3,1.308690650912647
287,1,0.0010097180002048844,0.0013243990001683414,0.001442499999939173,0.0003590910000639269,32,31,6,3,1.3116523622433236
